ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,0.1uF,"C1, C5, C6, C10, C12, C13, C15, C16",C0805,8,
2,100uF 10v NP,C2,CAP-D6.3-F2.5,1,EGH1HM100D11OTGS0
3,22pF,"C3, C14, C17, C23, C24, C36, C37, C38, C39, C40",C0805,10,
4,10uF,"C4, C9",CAP-D5.0XF2.0,2,EGH1HM100D11OTGS0
5,510pF,C7,C0805,1,
6,130pF C0G,C8,C0805,1,
7,10uF,C11,C0805,1,
8,1N4148,"D7, D8",SOD-80_L3.5-W1.5-FD,2,1N4148
9,HDR-M-2.54_1x20,J1,HDR-M-2.54_1X20,1,
10,150R,R1,R0805,1,
11,20k,R2,R0805,1,
12,10k,"R5, R25, R26, R27, R29, R31, R33",R0805,7,
13,5.1R,R8,R0805,1,
14,3.3k,"R12, R13, R14, R15",R0805,4,
15,6.8k,"R16, R17, R18, R19",R0805,4,
16,15k,"R20, R21",R0805,2,
17,19.1k,"R22, R24",R0805,2,
18,10.7k,R23,R0805,1,
19,47k,"R30, R32, R34, R39",R0805,4,
20,1k,"R35, R36, R37, R74",R0805,4,
21,499R,"R38, R40",R0805,2,
22,NEMFXSRC-RDC1,U1,SO28-W,1,NEMFXSRC-RDC1
23,OPA1612AIDR,U10,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,OPA1612AIDR
24,OPA2376AID,U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TI
