ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,0.1u,C72,C0805,1,
2,1N4148,"D41, D42, D43, D44, D45, D46, D47",SOD-80_L3.5-W1.5-FD,7,1N4148
3,X4611WV-05I-C28D40,"H1, H3",HDR-TH_5P-P2.00-V-M,2,X4611WV-05I-C28D40
4,X4611WV-04I-C28D40,H4,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40
5,THONKICONNNEW,"IN, OUT-LEFT, OUT-RIGHT",THONKICONN-TIGHT,3,
6,LED-3MM-RED,"LED1, LED2, LED3, LED4",LED3MM-STOVEPIPE,4,LED-3MM-RED
7,LED_2X5MM_BICOLOR-CMN-CAT,LED5,KINGBRIGHT-WP119EGWT-2X5-BICOLOR-LED,1,
8,BC847,"Q41, Q42, Q43, Q44, Q45, Q46",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,6,2n3904S-RTK/PS
9,100R,"R41, R53",R0805,2,
10,220R,R42,R0805,1,
11,2k,"R43, R45, R58, R59",R0805,4,
12,10k,"R44, R46, R47, R48, R49, R50, R55, R56, R60",R0805,9,
13,470R,R52,R0805,1,
14,SP4T SLIDE SWITCH APEM-SLB1470,SW2,SP4T SLIDE SWITCH APEM-SLB1470,1,
15,CD40106BM96,U11,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,CD40106BM96
16,B100K,"VR1, VR4",9MM_SNAP-IN_POT,2,?
17,A100K,VR3,9MM_SNAP-IN_POT,1,?
