ID,Name,Designator,Footprint,Quantity,Manufacturer Part
1,1uF,"C15, C16",C0805,2,
2,10uF,"C61, C66, C82",C0805,3,?
3,1.2nF,"C62, C63, C65, C67, C74, C75",C0805,6,
4,100pF,"C64, C69, C70, C80, C94, C99",C0805,6,
5,0.1uF,"C68, C71, C72, C73, C76, C77, C81, C83, C84, C89, C90, C92",C0805,12,
6,100uF 10v NP,"C103, C104, C105, C106",CAP-D6.3-F2.5,4,EGH1HM100D11OTGS0
7,1N5819,"D61, D62",SOD-123_L2.8-W1.8-LS3.7-RD-FOR-5819,2,1N5819HWQ-7-F
8,1N4148,"D68, D69",SOD-80_L3.5-W1.5-FD,2,1N4148
9,Ferrite,"F1, F2",R0805,2,
10,X4611WV-05I-C28D40,"H1, H3",HDR-TH_5P-P2.00-V-M,2,X4611WV-05I-C28D40
11,X4611WV-04I-C28D40,H4,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40
12,HDR-M-2.54_1x20,J1,HDR-M-2.54_1X20,1,
13,IDC Box 2.54mm 2X5P,P3,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P
14,69.8k,R6,R0805,1,
15,115k,R7,R0805,1,
16,100k,"R61, R62, R63, R64, R65, R76, R129, R137, R140, R141",R0805,10,
17,249R,R66,R0805,1,
18,750R,R84,R0805,1,
19,12k,"R109, R138",R0805,2,
20,20k,"R112, R115, R117, R119",R0805,4,
21,220R,"R113, R114, R116, R118, R132, R136",R0805,6,
22,10k,"R120, R121, R122, R123, R124, R125",R0805,6,
23,MC7805BDTRKG,U8,TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW,1,MC7805BDTRKG
24,LM337LMX,U30,SOP-8_L5.0-W4.0-P1.27-LS6.2-BL,1,LM337LMX
25,AP2210K-ADJTRG1,U32,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,AP2210K-ADJTRG1
26,TL074_SMD,"U3, U4",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,
27,SSI2164 SOIC-16,"U9, U10",SSI2164,2,
